Price,Close,High,Low,Open,Volume
Ticker,GODREJPROP.NS,GODREJPROP.NS,GODREJPROP.NS,GODREJPROP.NS,GODREJPROP.NS
Date,,,,,
2010-01-05,238.55702209472656,260.5588947083411,222.9714371093977,226.90113389522307,18725211
2010-01-06,234.09446716308594,242.70870621103998,232.9177802084251,238.44598983091478,2516742
2010-01-07,238.401611328125,241.5098461943857,233.56164644039632,234.8937408529287,1770747
2010-01-08,231.03062438964844,239.0010286417881,229.63192902507288,236.6698454169114,506481
2010-01-11,231.03062438964844,235.09353747999765,226.45707879641458,233.939041189449,582055
2010-01-12,226.92330932617188,232.8733594798576,226.10184755865725,231.11942444752094,381934
2010-01-13,229.8539581298828,232.87338670156944,223.12685584938149,226.9233358523531,460431
2010-01-14,228.10000610351562,232.54034962523883,226.4570824973622,231.78548889528977,153881
2010-01-15,226.5458984375,229.56532691559534,226.32388999416509,227.34516963048944,162907
2010-01-18,226.59033203125,229.03251257969052,224.68098928570345,226.5459215958324,116392
2010-01-19,227.54495239257812,234.62729356353339,224.23691469271347,224.23691469271347,258953
2010-01-20,227.32296752929688,231.78550194643407,226.45709524847993,228.4330534722333,159726
2010-01-21,222.4163818359375,228.65505652878608,221.79473780224484,226.45708991046652,185968
2010-01-22,219.33035278320312,231.7632917651521,217.5764176137558,217.5764176137558,257321
2010-01-25,217.3544158935547,224.2369400629247,216.68836140739586,219.79659624900145,280684
2010-01-27,213.5579071044922,221.1286904709672,199.9704868293792,216.39972287614174,142210
2010-01-28,215.08984375,218.4644974033566,214.00196303460126,215.35626262497408,146599
2010-01-29,211.33773803710938,215.0898216877406,204.8770409132098,215.0898216877406,67047
2010-02-01,215.5560760498047,217.13238405216103,211.33775542611775,212.2480235397296,60785
2010-02-02,213.18048095703125,219.79657091301874,213.13607053024242,217.57639926197663,36824
2010-02-03,213.31369018554688,216.24431219980102,211.49315403370423,216.17771112775446,32508
2010-02-04,212.4700469970703,215.5782819320789,211.38216622685252,213.18051193648677,28313
2010-02-05,207.89646911621094,210.91589729360314,197.1508652153931,209.5838030552021,49480
