Price,Close,High,Low,Open,Volume
Ticker,SBILIFE.NS,SBILIFE.NS,SBILIFE.NS,SBILIFE.NS,SBILIFE.NS
Date,,,,,
2017-10-03,694.6607666015625,726.5196468854558,688.91735822726,721.610730352446,35367877
2017-10-04,690.8318481445312,697.8024856569773,686.2665317963097,697.2134396419218,3613280
2017-10-05,681.8976440429688,691.7154779790084,673.6015623823547,691.7154779790084,2680742
2017-10-06,684.0575561523438,689.2119187928888,676.448735111539,681.2594975453682,1416485
2017-10-09,685.9229736328125,689.7028156281444,681.4558113723095,681.4558113723095,951473
2017-10-10,687.2483520507812,688.4265040675284,682.8794041137983,685.6283855373413,555002
2017-10-11,677.3323364257812,690.1936739482428,673.5033575085272,687.248323988293,1077409
2017-10-12,675.1724243164062,681.3576474599852,672.5215972767866,678.5104517649677,439314
2017-10-13,677.1361083984375,682.3886262818226,667.6127962322274,676.3997707555343,1344510
2017-10-16,657.89306640625,676.8906121330548,656.8131285797016,673.5034472431619,971834
2017-10-17,660.789306640625,661.7220128570575,656.8130958477321,658.2857709505297,664335
2017-10-18,656.2239990234375,660.5928868852037,652.051419888219,658.7766117015458,415712
2017-10-19,662.8020629882812,665.8947051977436,653.9660108736042,653.9660108736042,93358
2017-10-23,653.67138671875,661.5256540507224,652.8859719702135,657.7948890526964,292330
2017-10-24,653.720458984375,659.2184820293548,650.9224002377424,651.7078149803671,350373
2017-10-25,657.6966552734375,661.1819739965399,646.1115644188593,654.8494597400316,583868
2017-10-26,654.7022705078125,657.6967579728207,648.4679695615921,657.6967579728207,242175
2017-10-27,650.1370239257812,653.9168663049531,646.9953048462669,651.1188073929227,396395
2017-10-30,643.068115234375,652.8859490547471,638.061043955306,652.8859490547471,1164020
2017-10-31,650.038818359375,656.8131483429983,643.8535944179366,643.8535944179366,1402840
2017-11-01,635.2628173828125,652.7385466279524,630.5502699347163,651.9040548643856,859011
2017-11-02,631.0413208007812,641.6936474042915,629.5195684178951,635.2629777067357,574130
2017-11-03,630.5503540039062,641.5954166470265,629.4212791866229,631.3357686960903,672547
2017-11-06,644.7861938476562,647.8788352674819,630.943073038518,630.943073038518,483071
2017-11-07,630.6484985351562,646.9952149613912,627.8995171937282,646.9952149613912,763293
2017-11-08,620.0942993164062,637.1773524579407,617.5416867427499,637.1773524579407,843603
2017-11-09,645.9644165039062,658.1876321305834,621.4689080639597,621.4689080639597,356798
2017-11-10,664.2255249023438,666.8272747939916,643.1662596973358,643.1662596973358,784443
2017-11-13,652.885986328125,668.3981526652449,650.9224194519502,652.885986328125,192279
2017-11-14,647.9769897460938,655.5858104590213,642.086289839311,643.2644418053272,350594
2017-11-15,637.52099609375,648.0260899520912,632.6612164366219,638.2573336082603,269314
2017-11-16,638.06103515625,647.1916084986223,631.0903372859325,636.7846688385614,261879
2017-11-17,647.5352783203125,651.6097037069135,633.3484951357315,641.1046085499933,3200674
2017-11-20,649.400634765625,652.8859538125956,644.5407950044647,645.3262097311577,712433
2017-11-21,674.9270629882812,683.7140370887075,647.9770945703527,647.9770945703527,2077453
2017-11-22,680.5231323242188,686.21746359637,668.7417324825412,676.4487075763193,669175
2017-11-23,654.1622924804688,676.4487884983859,651.9042025586766,676.4487884983859,827451
2017-11-24,643.75537109375,658.2366758777351,643.0681107464599,655.8312946238705,599114
2017-11-27,641.7918090820312,650.627859523941,639.9754738705464,643.6080843702141,239417
2017-11-28,641.5463256835938,654.8004005706327,640.1227278777335,641.1045112026994,269211
2017-11-29,644.2462158203125,646.4061510729366,638.9445620114438,642.1353577482099,258606
2017-11-30,642.9699096679688,653.8186031909747,641.9389892602767,653.8186031909747,316178
2017-12-01,643.9517211914062,646.0134422505455,640.3681880059548,646.0134422505455,86648
2017-12-04,649.6951293945312,653.671339962267,641.1536022973175,647.9770085385578,162592
2017-12-05,647.0933837890625,650.0878709534092,641.6444981662897,647.9770127758043,125688
2017-12-06,644.1480102539062,647.976989159166,642.1353664389048,642.1353664389048,210799
2017-12-07,656.2239990234375,657.794828375612,639.1409451828708,643.1662328498796,279051
