Max Pos,Stop Loss,Hold Days,Trail Trigger,CAGR,Sharpe,Max DD
10,-8%,20,20%,169.18%,22.46,-5.12%
10,-8%,20,15%,168.83%,22.88,-5.12%
10,-6%,20,20%,168.65%,23.02,-5.15%
10,-8%,30,15%,168.42%,21.12,-4.09%
10,-6%,20,15%,168.22%,23.49,-5.15%
10,-6%,30,15%,168.21%,22.69,-3.97%
10,-10%,20,20%,168.19%,21.47,-5.55%
10,-10%,20,15%,167.85%,21.81,-5.55%
10,-10%,30,15%,167.83%,19.84,-4.86%
10,-6%,30,20%,167.50%,22.09,-3.97%
10,-6%,45,15%,167.38%,21.38,-4.59%
10,-8%,30,20%,167.26%,20.56,-6.07%
10,-8%,45,15%,166.86%,20.06,-4.93%
8,-8%,20,15%,166.83%,18.68,-5.27%
10,-10%,30,20%,166.77%,19.31,-6.38%
8,-8%,20,20%,166.70%,18.57,-5.27%
8,-6%,20,20%,166.53%,19.06,-5.66%
10,-10%,45,15%,166.52%,18.98,-4.78%
8,-10%,30,15%,166.27%,16.64,-5.82%
10,-10%,45,20%,166.18%,18.59,-5.11%
8,-6%,20,15%,165.92%,19.43,-5.66%
10,-8%,45,20%,165.70%,19.26,-5.71%
10,-6%,45,20%,165.67%,20.22,-6.49%
8,-10%,20,20%,165.55%,17.45,-6.79%
8,-6%,30,15%,165.41%,18.38,-5.68%
8,-6%,30,20%,165.15%,17.91,-5.68%
8,-8%,30,15%,165.15%,17.13,-6.04%
8,-10%,20,15%,165.13%,17.74,-6.79%
8,-10%,30,20%,164.34%,16.02,-7.93%
8,-8%,30,20%,163.71%,16.62,-8.72%
8,-6%,45,15%,163.43%,17.25,-6.69%
8,-10%,45,15%,162.77%,14.84,-8.26%
8,-8%,45,15%,162.52%,16.36,-7.54%
8,-10%,45,20%,161.93%,14.33,-11.02%
8,-8%,45,20%,161.83%,16.05,-7.54%
8,-6%,45,20%,161.56%,16.36,-10.09%
5,-6%,20,20%,161.33%,12.93,-7.61%
5,-6%,20,15%,160.37%,13.22,-7.61%
5,-6%,30,15%,159.82%,12.61,-6.87%
5,-8%,20,20%,159.38%,12.00,-8.74%
5,-8%,30,15%,159.37%,11.77,-9.16%
5,-8%,20,15%,158.96%,12.36,-9.30%
5,-8%,30,20%,158.79%,11.53,-8.90%
5,-8%,45,15%,158.60%,11.30,-6.93%
5,-6%,30,20%,158.56%,12.18,-8.79%
5,-6%,45,15%,158.26%,12.33,-6.87%
5,-10%,30,15%,158.10%,10.93,-8.63%
5,-10%,20,20%,157.75%,11.52,-7.14%
5,-8%,45,20%,157.12%,11.08,-6.93%
5,-10%,20,15%,156.98%,11.71,-7.14%
5,-10%,30,20%,156.75%,10.67,-10.58%
5,-6%,45,20%,156.70%,11.64,-9.52%
5,-10%,45,15%,155.99%,10.36,-8.16%
5,-10%,45,20%,155.64%,10.26,-8.16%
